seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
3575797841332321150	DonuAndDeca	train	win	9	61	0	99	31	-68	494	0	494	player_hp_delta	-68	Terminal	{"index":0,"op":"choose"}	-
8994553749226938774	DonuAndDeca	train	loss	8	50	0	89	0	-89	500	216	284	monster_hp_delta	284	Terminal	{"op":"end_turn"}	Deca:204/250,Donu:12/250
4877033296021424441	DonuAndDeca	train	loss	11	64	0	82	0	-82	500	160	340	monster_hp_delta	340	Terminal	{"op":"end_turn"}	Deca:133/250,Donu:27/250
5157688114572272905	AwakenedOne	train	win	13	89	0	75	32	-43	702	0	702	player_hp_delta	-43	Terminal	{"index":0,"op":"choose"}	-
1791847072627334439	TimeEater	train	loss	7	39	0	80	0	-80	456	263	193	monster_hp_delta	193	Terminal	{"op":"end_turn"}	TimeEater:263/456
3196368224264100068	DonuAndDeca	train	win	7	53	0	75	75	0	500	0	500	player_hp_delta	0	Terminal	{"index":0,"op":"choose"}	-
1489316484494972907	DonuAndDeca	train	win	11	92	0	71	14	-57	500	0	500	player_hp_delta	-57	Terminal	{"index":0,"op":"choose"}	-
6183481737428748839	AwakenedOne	train	loss	21	101	0	62	0	-62	698	130	568	monster_hp_delta	568	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:130/300
7416601089082899303	DonuAndDeca	train	loss	10	69	0	66	0	-66	500	278	222	monster_hp_delta	222	Terminal	{"op":"end_turn"}	Deca:178/250,Donu:100/250
5623755035565451516	AwakenedOne	train	loss	18	99	0	94	0	-94	695	147	548	monster_hp_delta	548	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:147/300
1193752383130656283	AwakenedOne	train	win	10	74	0	52	13	-39	694	0	694	player_hp_delta	-39	Terminal	{"index":0,"op":"choose"}	-
7992747914631905508	DonuAndDeca	train	loss	6	45	0	75	0	-75	500	162	338	monster_hp_delta	338	Terminal	{"op":"end_turn"}	Deca:70/250,Donu:92/250
3061883885370602060	TimeEater	train	loss	8	43	0	63	0	-63	456	200	256	monster_hp_delta	256	Terminal	{"op":"end_turn"}	TimeEater:200/456
6481148338842073474	DonuAndDeca	train	loss	11	70	0	75	0	-75	500	116	384	monster_hp_delta	384	Terminal	{"op":"end_turn"}	Deca:116/250
7175349558613037921	DonuAndDeca	train	loss	8	45	0	75	0	-75	500	287	213	monster_hp_delta	213	Terminal	{"op":"end_turn"}	Deca:147/250,Donu:140/250
1660962350770321836	AwakenedOne	train	loss	13	93	0	77	0	-77	703	235	468	monster_hp_delta	468	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:235/300
6874331202128839979	AwakenedOne	train	win	36	187	0	66	15	-51	703	0	703	player_hp_delta	-51	Terminal	{"index":0,"op":"choose"}	-
1080088525296987545	TimeEater	train	win	13	76	0	76	3	-73	456	0	456	player_hp_delta	-73	Terminal	{"index":0,"op":"choose"}	-
2761504180787905848	TimeEater	train	win	15	77	0	77	38	-39	456	0	456	player_hp_delta	-39	Terminal	{"index":0,"op":"choose"}	-
6750838212784025915	TimeEater	train	loss	13	74	0	52	0	-52	456	39	417	monster_hp_delta	417	Terminal	{"op":"end_turn"}	TimeEater:39/456
9029249345114443286	TimeEater	train	loss	7	32	0	72	0	-72	456	264	192	monster_hp_delta	192	Terminal	{"hand_index":0,"op":"play","target_index":0}	TimeEater:264/456
5818932732441005714	TimeEater	train	loss	9	37	0	71	0	-71	456	302	154	monster_hp_delta	154	Terminal	{"op":"end_turn"}	TimeEater:302/456
835542457075239167	AwakenedOne	val	loss	11	70	0	59	0	-59	701	339	362	monster_hp_delta	362	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:39/300,AwakenedOne:phase_2_latent:300/300
8722318704258252439	TimeEater	train	loss	7	35	0	71	0	-71	456	169	287	monster_hp_delta	287	Terminal	{"op":"end_turn"}	TimeEater:169/456
3965456939340024074	AwakenedOne	train	loss	20	122	0	75	0	-75	700	201	499	monster_hp_delta	499	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:201/300
2197148552076074636	TimeEater	test	win	13	78	0	49	23	-26	456	0	456	player_hp_delta	-26	Terminal	{"index":0,"op":"choose"}	-
4943219564164449355	AwakenedOne	train	loss	13	92	0	94	0	-94	702	149	553	monster_hp_delta	553	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:149/300
6899102778022083926	DonuAndDeca	train	win	10	67	0	71	51	-20	500	0	500	player_hp_delta	-20	Terminal	{"index":0,"op":"choose"}	-
6018874024552207049	AwakenedOne	train	win	21	149	0	71	31	-40	703	0	703	player_hp_delta	-40	Terminal	{"index":0,"op":"choose"}	-
4251204140209120246	AwakenedOne	val	loss	15	85	0	74	0	-74	702	244	458	monster_hp_delta	458	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:244/300
2305696828255063566	AwakenedOne	train	win	15	108	0	94	5	-89	701	0	701	player_hp_delta	-89	Terminal	{"index":0,"op":"choose"}	-
5693720419602668079	AwakenedOne	train	win	21	120	0	73	19	-54	708	0	708	player_hp_delta	-54	Terminal	{"index":0,"op":"choose"}	-
3222600450284515355	DonuAndDeca	train	win	8	51	0	61	32	-29	500	0	500	player_hp_delta	-29	Terminal	{"index":0,"op":"choose"}	-
2359603027456344412	AwakenedOne	train	win	16	109	0	75	32	-43	690	0	690	player_hp_delta	-43	Terminal	{"index":0,"op":"choose"}	-
8177363424378289513	TimeEater	test	loss	8	36	0	75	0	-75	456	150	306	monster_hp_delta	306	Terminal	{"op":"end_turn"}	TimeEater:150/456
4731779542319227954	AwakenedOne	train	win	20	127	0	70	1	-69	705	0	705	player_hp_delta	-69	Terminal	{"index":0,"op":"choose"}	-
7745624774176530184	DonuAndDeca	train	win	9	69	0	94	64	-30	500	0	500	player_hp_delta	-30	Terminal	{"index":0,"op":"choose"}	-
1697746019005784101	TimeEater	train	loss	8	39	0	50	0	-50	456	234	222	monster_hp_delta	222	Terminal	{"op":"end_turn"}	TimeEater:234/456
3736067740971767229	TimeEater	train	loss	7	35	0	71	0	-71	456	221	235	monster_hp_delta	235	Terminal	{"op":"end_turn"}	TimeEater:221/456
