seed	boss	split	outcome	turns_played	actions_played	fallback_actions	entry_hp	player_hp	player_hp_delta	entry_encounter_hp	encounter_hp_remaining	encounter_hp_removed	score_kind	score	final_screen	last_action	monsters_hp_remaining
7666719210253519231	AwakenedOne	train	win	32	162	0	72	18	-54	703	0	703	player_hp_delta	-54	Terminal	{"index":0,"op":"choose"}	-
4299341224075195693	AwakenedOne	train	loss	15	95	0	80	0	-80	702	284	418	monster_hp_delta	418	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:284/300
5372333001477144398	TimeEater	val	win	20	103	0	73	10	-63	456	0	456	player_hp_delta	-63	Terminal	{"index":0,"op":"choose"}	-
4509375983841477816	TimeEater	train	loss	20	91	0	82	0	-82	453	160	293	monster_hp_delta	293	Terminal	{"op":"end_turn"}	TimeEater:160/456
4529017169055566120	DonuAndDeca	train	loss	9	51	0	75	0	-75	500	31	469	monster_hp_delta	469	Terminal	{"op":"end_turn"}	Deca:31/250
4027040925223762146	TimeEater	test	loss	11	56	0	44	0	-44	456	161	295	monster_hp_delta	295	Terminal	{"hand_index":6,"op":"play","target_index":0}	TimeEater:161/456
7602951781908970029	TimeEater	test	loss	11	56	0	65	0	-65	453	153	300	monster_hp_delta	300	Terminal	{"op":"end_turn"}	TimeEater:153/456
2401040027389943661	TimeEater	train	loss	16	78	0	89	0	-89	456	63	393	monster_hp_delta	393	Terminal	{"op":"end_turn"}	TimeEater:63/456
5568890203847154861	TimeEater	train	loss	13	69	0	71	0	-71	453	8	445	monster_hp_delta	445	Terminal	{"hand_index":3,"op":"play","target_index":0}	TimeEater:8/456
8251950249737359765	DonuAndDeca	train	loss	11	85	0	65	0	-65	500	57	443	monster_hp_delta	443	Terminal	{"op":"end_turn"}	Deca:57/250
1938929116263240226	AwakenedOne	train	loss	7	51	0	59	0	-59	698	369	329	monster_hp_delta	329	Terminal	{"op":"end_turn"}	AwakenedOne:phase_1:69/300,AwakenedOne:phase_2_latent:300/300
3726875175761405597	AwakenedOne	train	loss	5	30	0	76	0	-76	704	611	93	monster_hp_delta	93	Terminal	{"op":"end_turn"}	Cultist:21/52,AwakenedOne:phase_1:290/300,AwakenedOne:phase_2_latent:300/300
5651379153875116265	DonuAndDeca	train	win	9	50	0	68	51	-17	500	0	500	player_hp_delta	-17	Terminal	{"index":0,"op":"choose"}	-
1567768537377224457	DonuAndDeca	train	loss	11	70	0	84	0	-84	500	132	368	monster_hp_delta	368	Terminal	{"op":"end_turn"}	Deca:132/250
7514473497604484932	TimeEater	val	loss	12	55	0	73	0	-73	456	119	337	monster_hp_delta	337	Terminal	{"op":"end_turn"}	TimeEater:119/456
8989114918184651977	AwakenedOne	train	win	10	82	0	39	29	-10	696	0	696	player_hp_delta	-10	Terminal	{"index":0,"op":"choose"}	-
4604019027069671864	AwakenedOne	val	loss	15	100	0	72	0	-72	696	221	475	monster_hp_delta	475	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:221/300
1173443651424396793	AwakenedOne	train	loss	13	84	0	68	0	-68	703	113	590	monster_hp_delta	590	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:113/300
3474790447422591176	DonuAndDeca	train	loss	7	45	0	72	0	-72	500	315	185	monster_hp_delta	185	Terminal	{"op":"end_turn"}	Deca:223/250,Donu:92/250
1299301075903282586	AwakenedOne	test	win	21	129	0	70	10	-60	701	0	701	player_hp_delta	-60	Terminal	{"index":0,"op":"choose"}	-
2425005228678068786	AwakenedOne	train	loss	25	159	0	62	0	-62	702	93	609	monster_hp_delta	609	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:93/300
2775925126419412687	AwakenedOne	train	win	12	93	0	91	9	-82	703	0	703	player_hp_delta	-82	Terminal	{"index":0,"op":"choose"}	-
1281747572758644869	AwakenedOne	test	loss	21	117	0	54	0	-54	700	21	679	monster_hp_delta	679	Terminal	{"op":"end_turn"}	AwakenedOne:phase_2:21/300
1322481433509640695	DonuAndDeca	train	win	8	67	0	75	52	-23	500	0	500	player_hp_delta	-23	Terminal	{"index":0,"op":"choose"}	-
4202532210337132167	DonuAndDeca	train	win	10	87	0	71	22	-49	500	0	500	player_hp_delta	-49	Terminal	{"index":0,"op":"choose"}	-
6613977930850513166	AwakenedOne	val	win	11	77	0	64	49	-15	694	0	694	player_hp_delta	-15	Terminal	{"index":0,"op":"choose"}	-
